,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
221,V170,1,8,1,0,1,2.2
222,V171,3,9,7,0,1,4.0
223,V172,0,0,0,0,0,0.0
224,V173,0,1,0,0,0,0.2
225,V174,0,0,0,0,0,0.0
226,V175,0,1,0,0,0,0.2
227,V176,0,2,0,0,2,0.8
228,V177,0,0,0,0,0,0.0
229,V178,0,0,0,0,0,0.0
230,V179,0,0,1,0,0,0.2
231,V180,0,0,0,1,0,0.2
232,V181,0,0,0,0,0,0.0
233,V182,0,0,0,1,1,0.4
234,V183,0,0,0,0,0,0.0
235,V184,0,0,0,0,0,0.0
236,V185,0,0,0,1,0,0.2
237,V186,0,0,0,0,0,0.0
238,V187,0,1,2,3,0,1.2
239,V188,0,2,0,0,0,0.4
240,V189,1,3,1,1,0,1.2
241,V190,0,0,0,0,0,0.0
242,V191,0,0,0,0,0,0.0
243,V192,0,0,0,0,0,0.0
244,V193,0,0,0,0,0,0.0
245,V194,0,3,0,0,1,0.8
246,V195,0,1,0,0,0,0.2
247,V196,0,0,0,0,0,0.0
248,V197,0,3,1,3,7,2.8
249,V198,0,2,0,0,6,1.6
250,V199,0,1,0,0,0,0.2
251,V200,0,1,2,0,1,0.8
252,V201,0,25,2,3,7,7.4
253,V202,0,1,0,0,3,0.8
254,V203,2,6,2,1,6,3.4
255,V204,2,8,0,0,0,2.0
256,V205,0,1,0,0,0,0.2
257,V206,0,0,0,0,0,0.0
258,V207,2,19,2,1,1,5.0
259,V208,0,0,1,0,0,0.2
260,V209,1,0,4,0,1,1.2
261,V210,0,2,1,0,0,0.6
262,V211,0,0,0,0,0,0.0
263,V212,0,0,0,0,0,0.0
264,V213,0,1,0,0,0,0.2
265,V214,0,0,0,0,0,0.0
266,V215,0,1,3,5,1,2.0
267,V216,0,0,0,0,0,0.0
268,V217,0,2,0,0,0,0.4
269,V218,0,17,27,4,11,11.8
270,V219,0,0,2,0,1,0.6
271,V220,0,0,0,0,0,0.0
272,V221,1,4,0,0,1,1.2
273,V222,0,11,4,0,3,3.6
274,V223,0,0,0,0,0,0.0
275,V224,0,0,0,0,0,0.0
276,V225,0,0,0,0,0,0.0
277,V226,0,0,0,0,0,0.0
278,V227,0,1,0,1,0,0.4
279,V228,0,1,0,0,0,0.2
280,V229,0,6,1,2,9,3.6
281,V230,0,2,2,1,4,1.8
282,V231,0,0,0,0,0,0.0
283,V232,0,0,0,0,1,0.2
284,V233,0,0,0,0,0,0.0
285,V234,1,3,8,1,5,3.6
286,V235,0,0,0,0,0,0.0
287,V236,3,1,11,2,2,3.8
288,V237,1,0,0,0,0,0.2
289,V238,0,3,2,1,1,1.4
290,V239,0,0,1,0,1,0.4
291,V240,0,0,0,0,0,0.0
292,V241,0,0,0,0,0,0.0
293,V242,0,0,0,0,0,0.0
294,V243,0,1,1,0,1,0.6
295,V244,0,0,0,0,0,0.0
296,V245,0,3,0,1,1,1.0
297,V246,1,0,0,0,0,0.2
298,V247,0,0,0,0,0,0.0
299,V248,0,0,0,0,0,0.0
300,V249,0,0,0,0,0,0.0
301,V250,0,1,0,0,4,1.0
302,V251,0,0,0,0,0,0.0
303,V252,0,0,0,0,0,0.0
304,V253,0,4,2,0,1,1.4
305,V254,0,0,0,0,3,0.6
306,V255,0,1,0,0,0,0.2
307,V256,0,0,0,0,0,0.0
308,V257,0,0,0,0,0,0.0
309,V258,0,13,0,3,0,3.2
310,V259,0,0,0,2,0,0.4
311,V260,0,0,0,0,0,0.0
312,V261,0,3,0,1,1,1.0
313,V262,0,0,0,0,1,0.2
314,V263,0,1,0,0,0,0.2
315,V264,0,44,13,4,11,14.4
316,V265,0,5,2,0,4,2.2
317,V266,0,0,0,0,0,0.0
318,V267,0,0,0,0,0,0.0
319,V268,0,0,0,0,0,0.0
320,V269,0,0,0,0,0,0.0
321,V270,0,0,0,2,0,0.4
322,V271,0,0,0,0,0,0.0
323,V272,0,1,0,0,0,0.2
324,V273,0,0,0,0,1,0.2
